Algorithm_Name,Input_Dimensions,Execution_Time(ms),Winning
Tiled_Matrix_Multiplication_GPU,1840,6.202496,3
Naive_GPU,1872,6.478477,3
naive_matrix_cpu,1872,800000,3
Strassen_Matrix_Multiplication_CPU,1872,48845.39844,3
Strassen_Matrix_Multiplication_GPU,1872,13.320246,3
Tiled_Matrix_Multiplication_GPU,1872,5.664838,3
Naive_GPU,1904,7.389139,3
naive_matrix_cpu,1904,800000,3
Strassen_Matrix_Multiplication_CPU,1904,49172.92578,3
Strassen_Matrix_Multiplication_GPU,1904,10.482977,3
Tiled_Matrix_Multiplication_GPU,1904,6.030234,3
Naive_GPU,1936,6.602432,3
naive_matrix_cpu,1936,800000,3
Strassen_Matrix_Multiplication_CPU,1936,48876.63281,3
Strassen_Matrix_Multiplication_GPU,1936,11.134882,3
Tiled_Matrix_Multiplication_GPU,1936,5.812384,3
Naive_GPU,1968,7.491104,3
naive_matrix_cpu,1968,800000,3
Strassen_Matrix_Multiplication_CPU,1968,48797.30078,3
Strassen_Matrix_Multiplication_GPU,1968,15.341114,3
Tiled_Matrix_Multiplication_GPU,1968,7.245638,3
Naive_GPU,2000,7.982323,3
naive_matrix_cpu,2000,800000,3
Strassen_Matrix_Multiplication_CPU,2000,48784.63281,3
Strassen_Matrix_Multiplication_GPU,2000,12.53494,3
Tiled_Matrix_Multiplication_GPU,2000,7.082714,3
Naive_GPU,2032,7.286042,3
naive_matrix_cpu,2032,800000,3
Strassen_Matrix_Multiplication_CPU,2032,49168.45313,3
Strassen_Matrix_Multiplication_GPU,2032,12.763377,3
Tiled_Matrix_Multiplication_GPU,2032,6.36505,3
Naive_GPU,2064,6.919763,1
naive_matrix_cpu,2064,800000,1
Strassen_Matrix_Multiplication_CPU,2064,339316.6563,1
Strassen_Matrix_Multiplication_GPU,2064,14.255389,1
Tiled_Matrix_Multiplication_GPU,2064,7.239322,1
Naive_GPU,2096,6.981747,1
naive_matrix_cpu,2096,800000,1
Strassen_Matrix_Multiplication_CPU,2096,342687.9375,1
Strassen_Matrix_Multiplication_GPU,2096,14.81379,1
Tiled_Matrix_Multiplication_GPU,2096,8.186119,1
Naive_GPU,2128,7.647431,1
naive_matrix_cpu,2128,800000,1
Strassen_Matrix_Multiplication_CPU,2128,341673.3125,1
Strassen_Matrix_Multiplication_GPU,2128,13.28523,1
Tiled_Matrix_Multiplication_GPU,2128,7.822912,1
Naive_GPU,2160,7.217606,1
naive_matrix_cpu,2160,800000,1
Strassen_Matrix_Multiplication_CPU,2160,342591.0313,1
Strassen_Matrix_Multiplication_GPU,2160,14.267943,1
Tiled_Matrix_Multiplication_GPU,2160,8.517331,1
Naive_GPU,2192,7.626624,1
naive_matrix_cpu,2192,800000,1
Strassen_Matrix_Multiplication_CPU,2192,342055.7813,1
Strassen_Matrix_Multiplication_GPU,2192,14.500372,1
Tiled_Matrix_Multiplication_GPU,2192,10.080973,1
Naive_GPU,2224,7.594259,1
naive_matrix_cpu,2224,800000,1
Strassen_Matrix_Multiplication_CPU,2224,342779.2188,1
Strassen_Matrix_Multiplication_GPU,2224,16.625251,1
Tiled_Matrix_Multiplication_GPU,2224,8.481869,1
Naive_GPU,2256,7.605536,1
naive_matrix_cpu,2256,800000,1
Strassen_Matrix_Multiplication_CPU,2256,342120.75,1
Strassen_Matrix_Multiplication_GPU,2256,15.199075,1
Tiled_Matrix_Multiplication_GPU,2256,8.252038,1
Naive_GPU,2288,8.196448,1
naive_matrix_cpu,2288,800000,1
Strassen_Matrix_Multiplication_CPU,2288,341486.1563,1
Strassen_Matrix_Multiplication_GPU,2288,15.667447,1
